AREAGEOGRAFICA,Hombres_0,Hombres_1,Hombres_2,Hombres_3,Hombres_4,Hombres_5,Hombres_6,Hombres_7,Hombres_8,Hombres_9,Hombres_10,Hombres_11,Hombres_12,Hombres_13,Hombres_14,Hombres_15,Hombres_16,Hombres_17,Hombres_18,Hombres_19,Hombres_20,Hombres_21,Hombres_22,Hombres_23,Hombres_24,Hombres_25,Hombres_26,Hombres_27,Hombres_28,Hombres_29,Hombres_30,Hombres_31,Hombres_32,Hombres_33,Hombres_34,Hombres_35,Hombres_36,Hombres_37,Hombres_38,Hombres_39,Hombres_40,Hombres_41,Hombres_42,Hombres_43,Hombres_44,Hombres_45,Hombres_46,Hombres_47,Hombres_48,Hombres_49,Hombres_50,Hombres_51,Hombres_52,Hombres_53,Hombres_54,Hombres_55,Hombres_56,Hombres_57,Hombres_58,Hombres_59,Hombres_60,Hombres_61,Hombres_62,Hombres_63,Hombres_64,Hombres_65,Hombres_66,Hombres_67,Hombres_68,Hombres_69,Hombres_70,Hombres_71,Hombres_72,Hombres_73,Hombres_74,Hombres_75,Hombres_76,Hombres_77,Hombres_78,Hombres_79,Hombres_80,Hombres_81,Hombres_82,Hombres_83,Hombres_84,Hombres_85,Hombres_86,Hombres_87,Hombres_88,Hombres_89,Hombres_90,Hombres_91,Hombres_92,Hombres_93,Hombres_94,Hombres_95,Hombres_96,Hombres_97,Hombres_98,Hombres_99,Hombres_100,Mujeres_0,Mujeres_1,Mujeres_2,Mujeres_3,Mujeres_4,Mujeres_5,Mujeres_6,Mujeres_7,Mujeres_8,Mujeres_9,Mujeres_10,Mujeres_11,Mujeres_12,Mujeres_13,Mujeres_14,Mujeres_15,Mujeres_16,Mujeres_17,Mujeres_18,Mujeres_19,Mujeres_20,Mujeres_21,Mujeres_22,Mujeres_23,Mujeres_24,Mujeres_25,Mujeres_26,Mujeres_27,Mujeres_28,Mujeres_29,Mujeres_30,Mujeres_31,Mujeres_32,Mujeres_33,Mujeres_34,Mujeres_35,Mujeres_36,Mujeres_37,Mujeres_38,Mujeres_39,Mujeres_40,Mujeres_41,Mujeres_42,Mujeres_43,Mujeres_44,Mujeres_45,Mujeres_46,Mujeres_47,Mujeres_48,Mujeres_49,Mujeres_50,Mujeres_51,Mujeres_52,Mujeres_53,Mujeres_54,Mujeres_55,Mujeres_56,Mujeres_57,Mujeres_58,Mujeres_59,Mujeres_60,Mujeres_61,Mujeres_62,Mujeres_63,Mujeres_64,Mujeres_65,Mujeres_66,Mujeres_67,Mujeres_68,Mujeres_69,Mujeres_70,Mujeres_71,Mujeres_72,Mujeres_73,Mujeres_74,Mujeres_75,Mujeres_76,Mujeres_77,Mujeres_78,Mujeres_79,Mujeres_80,Mujeres_81,Mujeres_82,Mujeres_83,Mujeres_84,Mujeres_85,Mujeres_86,Mujeres_87,Mujeres_88,Mujeres_89,Mujeres_90,Mujeres_91,Mujeres_92,Mujeres_93,Mujeres_94,Mujeres_95,Mujeres_96,Mujeres_97,Mujeres_98,Mujeres_99,Mujeres_100,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Total_26,Total_27,Total_28,Total_29,Total_30,Total_31,Total_32,Total_33,Total_34,Total_35,Total_36,Total_37,Total_38,Total_39,Total_40,Total_41,Total_42,Total_43,Total_44,Total_45,Total_46,Total_47,Total_48,Total_49,Total_50,Total_51,Total_52,Total_53,Total_54,Total_55,Total_56,Total_57,Total_58,Total_59,Total_60,Total_61,Total_62,Total_63,Total_64,Total_65,Total_66,Total_67,Total_68,Total_69,Total_70,Total_71,Total_72,Total_73,Total_74,Total_75,Total_76,Total_77,Total_78,Total_79,Total_80,Total_81,Total_82,Total_83,Total_84,Total_85,Total_86,Total_87,Total_88,Total_89,Total_90,Total_91,Total_92,Total_93,Total_94,Total_95,Total_96,Total_97,Total_98,Total_99,Total_100,Total Hombres,Total Mujeres,Total general
Total,13052,13113,13172,13231,13310,13402,13503,13605,13740,13916,14083,14253,14424,14607,14752,14844,15378,16032,16162,16502,16406,16265,16080,15855,15642,15400,15190,14984,14798,14619,14484,14347,14251,14164,14124,14104,14094,14086,14082,14049,13993,13934,13854,13775,13612,13399,13153,12862,12569,12301,12087,11902,11741,11605,11479,11303,11108,10882,10641,10369,10127,9886,9667,9464,9329,9223,9088,8912,8697,8454,8169,7864,7533,7194,6806,6394,5974,5565,5168,4757,4365,3965,3543,3114,2720,2340,2006,1743,1510,1290,1099,909,730,576,446,336,251,185,132,91,189,12445,12502,12558,12613,12687,12779,12869,12966,13089,13251,13404,13559,13721,13883,14016,14128,14635,15221,15311,15436,15360,15249,15132,15002,14871,14743,14623,14524,14431,14355,14291,14248,14226,14253,14319,14398,14479,14547,14595,14609,14559,14495,14425,14310,14145,13911,13657,13401,13128,12902,12723,12572,12425,12287,12162,11991,11799,11579,11342,11074,10811,10575,10346,10146,10008,9913,9795,9606,9384,9135,8847,8543,8239,7934,7576,7186,6780,6372,5959,5548,5137,4709,4265,3808,3378,2955,2586,2280,2016,1760,1524,1292,1063,858,680,531,407,305,227,165,372,25497,25615,25730,25844,25997,26181,26372,26571,26829,27167,27487,27812,28145,28490,28768,28972,30013,31253,31473,31938,31766,31514,31212,30857,30513,30143,29813,29508,29229,28974,28775,28595,28477,28417,28443,28502,28573,28633,28677,28658,28552,28429,28279,28085,27757,27310,26810,26263,25697,25203,24810,24474,24166,23892,23641,23294,22907,22461,21983,21443,20938,20461,20013,19610,19337,19136,18883,18518,18081,17589,17016,16407,15772,15128,14382,13580,12754,11937,11127,10305,9502,8674,7808,6922,6098,5295,4592,4023,3526,3050,2623,2201,1793,1434,1126,867,658,490,359,256,561,1018485,1035236,2053721
Total,12923,12979,13051,13120,13187,13276,13376,13484,13593,13732,13913,14081,14254,14426,14610,14753,14837,15352,15973,16061,16358,16230,16072,15881,15661,15461,15235,15044,14857,14688,14524,14401,14275,14187,14106,14073,14059,14052,14048,14048,14018,13965,13908,13830,13750,13586,13372,13126,12835,12541,12270,12056,11866,11704,11563,11433,11254,11055,10824,10577,10299,10053,9806,9583,9374,9232,9118,8974,8788,8564,8311,8016,7702,7363,7014,6621,6202,5775,5360,4955,4538,4140,3734,3309,2882,2494,2122,1798,1543,1320,1114,935,762,603,467,354,261,191,136,95,188,12321,12375,12442,12507,12570,12652,12751,12848,12950,13076,13241,13396,13553,13716,13879,14010,14107,14581,15129,15189,15296,15215,15105,14998,14880,14762,14647,14540,14451,14367,14297,14239,14201,14182,14210,14279,14358,14441,14510,14561,14577,14527,14464,14393,14277,14112,13878,13625,13368,13094,12868,12685,12533,12385,12245,12117,11945,11751,11528,11288,11017,10751,10512,10280,10076,9932,9831,9706,9511,9280,9025,8729,8418,8106,7792,7427,7029,6616,6200,5778,5359,4938,4502,4052,3592,3160,2740,2375,2071,1813,1565,1338,1120,909,724,562,431,324,237,172,381,25244,25354,25493,25627,25757,25928,26127,26332,26543,26808,27154,27477,27807,28142,28489,28763,28944,29933,31102,31250,31654,31445,31177,30879,30541,30223,29882,29584,29308,29055,28821,28640,28476,28369,28316,28352,28417,28493,28558,28609,28595,28492,28372,28223,28027,27698,27250,26751,26203,25635,25138,24741,24399,24089,23808,23550,23199,22806,22352,21865,21316,20804,20318,19863,19450,19164,18949,18680,18299,17844,17336,16745,16120,15469,14806,14048,13231,12391,11560,10733,9897,9078,8236,7361,6474,5654,4862,4173,3614,3133,2679,2273,1882,1512,1191,916,692,515,373,267,569,1021870,1038873,2060743
Total,12800,12852,12917,12999,13077,13153,13250,13357,13471,13586,13728,13911,14082,14256,14429,14611,14745,14812,15295,15874,15923,16184,16038,15874,15688,15481,15297,15090,14917,14747,14593,14441,14329,14211,14129,14053,14025,14016,14013,14011,14016,13987,13938,13883,13804,13725,13559,13345,13099,12806,12510,12238,12021,11829,11663,11518,11385,11201,10998,10760,10508,10224,9974,9722,9493,9279,9128,9005,8852,8655,8421,8157,7853,7530,7183,6825,6425,5999,5564,5142,4729,4306,3899,3490,3065,2642,2262,1901,1593,1350,1139,949,783,629,489,370,275,198,141,98,189,12203,12252,12316,12392,12464,12535,12624,12730,12831,12937,13066,13233,13390,13548,13713,13872,13988,14056,14493,15010,15052,15151,15074,14971,14877,14772,14667,14564,14467,14387,14309,14244,14192,14156,14141,14168,14239,14318,14403,14473,14526,14544,14495,14431,14361,14244,14079,13845,13591,13334,13060,12833,12647,12492,12343,12201,12071,11897,11700,11475,11231,10958,10688,10446,10210,10002,9852,9743,9611,9408,9169,8906,8604,8284,7964,7641,7267,6861,6440,6015,5582,5155,4724,4279,3823,3361,2931,2516,2159,1862,1611,1374,1161,958,766,599,456,343,252,179,392,25003,25104,25233,25391,25541,25688,25874,26087,26302,26523,26794,27144,27472,27804,28142,28483,28733,28868,29788,30884,30975,31335,31112,30845,30565,30253,29964,29654,29384,29134,28902,28685,28521,28367,28270,28221,28264,28334,28416,28484,28542,28531,28433,28314,28165,27969,27638,27190,26690,26140,25570,25071,24668,24321,24006,23719,23456,23098,22698,22235,21739,21182,20662,20168,19703,19281,18980,18748,18463,18063,17590,17063,16457,15814,15147,14466,13692,12860,12004,11157,10311,9461,8623,7769,6888,6003,5193,4417,3752,3212,2750,2323,1944,1587,1255,969,731,541,393,277,581,1024986,1042230,2067216
Total,12671,12730,12790,12866,12956,13043,13127,13231,13344,13463,13582,13725,13912,14084,14259,14429,14604,14721,14757,15201,15738,15756,15993,15842,15681,15509,15319,15152,14964,14807,14652,14510,14368,14264,14152,14075,14004,13981,13975,13975,13975,13985,13958,13910,13858,13778,13698,13532,13317,13070,12775,12478,12203,11983,11789,11618,11470,11333,11143,10936,10692,10434,10144,9890,9633,9398,9176,9017,8884,8720,8512,8267,7994,7680,7348,6993,6625,6216,5783,5339,4910,4488,4059,3645,3234,2811,2396,2028,1684,1394,1165,970,795,646,510,388,286,209,146,102,191,12079,12135,12193,12267,12350,12430,12508,12602,12714,12818,12927,13058,13226,13384,13544,13708,13850,13937,13974,14380,14875,14911,15011,14941,14851,14770,14677,14584,14492,14402,14330,14256,14197,14147,14114,14100,14127,14199,14278,14365,14436,14491,14510,14462,14398,14328,14211,14045,13812,13557,13298,13025,12797,12607,12450,12300,12155,12023,11846,11647,11419,11171,10896,10623,10376,10136,9922,9766,9649,9509,9297,9050,8779,8469,8141,7812,7479,7096,6680,6251,5814,5372,4933,4492,4039,3578,3118,2693,2286,1942,1655,1414,1192,994,807,634,485,363,266,191,404,24750,24865,24983,25133,25306,25473,25635,25833,26058,26281,26509,26783,27138,27468,27803,28137,28454,28658,28731,29581,30613,30667,31004,30783,30532,30279,29996,29736,29456,29209,28982,28766,28565,28411,28266,28175,28131,28180,28253,28340,28411,28476,28468,28372,28256,28106,27909,27577,27129,26627,26073,25503,25000,24590,24239,23918,23625,23356,22989,22583,22111,21605,21040,20513,20009,19534,19098,18783,18533,18229,17809,17317,16773,16149,15489,14805,14104,13312,12463,11590,10724,9860,8992,8137,7273,6389,5514,4721,3970,3336,2820,2384,1987,1640,1317,1022,771,572,412,293,595,1027823,1045302,2073125
Total,12536,12602,12669,12739,12824,12922,13018,13107,13218,13335,13459,13580,13725,13914,14086,14259,14422,14579,14667,14667,15072,15574,15574,15797,15652,15502,15348,15175,15026,14855,14712,14569,14437,14303,14205,14097,14025,13959,13939,13935,13939,13941,13954,13930,13882,13832,13751,13670,13504,13288,13038,12743,12443,12166,11943,11745,11571,11418,11276,11081,10868,10619,10355,10060,9801,9538,9296,9067,8897,8754,8578,8359,8103,7820,7497,7156,6791,6412,5994,5553,5100,4663,4232,3797,3378,2967,2550,2149,1797,1473,1203,992,813,656,523,405,301,216,154,105,195,11951,12011,12077,12144,12227,12316,12402,12487,12585,12701,12808,12918,13051,13220,13380,13538,13687,13801,13855,13866,14253,14736,14774,14881,14821,14745,14675,14594,14512,14428,14344,14279,14208,14152,14104,14073,14059,14087,14159,14239,14327,14399,14455,14475,14428,14365,14295,14176,14011,13777,13522,13262,12989,12757,12566,12407,12255,12107,11972,11793,11591,11360,11108,10831,10554,10302,10057,9837,9674,9548,9398,9179,8923,8643,8324,7988,7650,7305,6913,6485,6046,5597,5143,4693,4242,3782,3320,2865,2447,2057,1726,1453,1226,1021,837,668,513,385,282,200,422,24487,24613,24746,24883,25051,25238,25420,25594,25803,26036,26267,26498,26776,27134,27466,27797,28109,28380,28522,28533,29325,30310,30348,30678,30473,30247,30023,29769,29538,29283,29056,28848,28645,28455,28309,28170,28084,28046,28098,28174,28266,28340,28409,28405,28310,28197,28046,27846,27515,27065,26560,26005,25432,24923,24509,24152,23826,23525,23248,22874,22459,21979,21463,20891,20355,19840,19353,18904,18571,18302,17976,17538,17026,16463,15821,15144,14441,13717,12907,12038,11146,10260,9375,8490,7620,6749,5870,5014,4244,3530,2929,2445,2039,1677,1360,1073,814,601,436,305,617,1030386,1048081,2078467
Total,12406,12468,12543,12619,12696,12791,12896,13000,13092,13210,13331,13457,13580,13726,13915,14086,14252,14398,14525,14578,14544,14916,15394,15387,15608,15474,15342,15205,15050,14916,14761,14629,14496,14371,14244,14151,14046,13980,13917,13898,13897,13904,13908,13923,13902,13854,13804,13724,13642,13473,13258,13004,12708,12406,12126,11900,11699,11519,11362,11214,11014,10795,10540,10272,9972,9706,9436,9187,8948,8768,8615,8426,8196,7929,7636,7303,6952,6576,6186,5758,5308,4845,4399,3961,3520,3100,2692,2288,1904,1572,1271,1024,832,671,531,415,313,228,159,111,199,11826,11885,11954,12028,12104,12193,12289,12380,12470,12572,12690,12799,12911,13045,13215,13374,13517,13638,13721,13748,13744,14122,14602,14647,14762,14715,14651,14593,14522,14448,14372,14292,14232,14163,14109,14062,14032,14018,14047,14120,14199,14289,14361,14419,14440,14393,14331,14261,14142,13975,13742,13485,13225,12950,12715,12524,12362,12208,12057,11919,11738,11532,11299,11042,10761,10481,10223,9972,9746,9575,9440,9280,9052,8787,8498,8170,7825,7475,7119,6714,6275,5823,5361,4895,4433,3974,3510,3051,2605,2200,1829,1516,1260,1049,860,692,541,407,298,213,440,24232,24353,24497,24647,24800,24984,25185,25380,25562,25782,26021,26256,26491,26771,27130,27460,27769,28036,28246,28326,28288,29038,29996,30034,30370,30189,29993,29798,29572,29364,29133,28921,28728,28534,28353,28213,28078,27998,27964,28018,28096,28193,28269,28342,28342,28247,28135,27985,27784,27448,27000,26489,25933,25356,24841,24424,24061,23727,23419,23133,22752,22327,21839,21314,20733,20187,19659,19159,18694,18343,18055,17706,17248,16716,16134,15473,14777,14051,13305,12472,11583,10668,9760,8856,7953,7074,6202,5339,4509,3772,3100,2540,2092,1720,1391,1107,854,635,457,324,639,1032683,1050570,2083253
Total,12282,12339,12410,12493,12578,12662,12766,12876,12987,13083,13205,13328,13457,13580,13727,13915,14079,14228,14345,14438,14456,14395,14745,15210,15207,15431,15314,15201,15080,14941,14822,14677,14556,14431,14312,14189,14100,14000,13937,13876,13859,13861,13869,13876,13892,13873,13827,13775,13696,13612,13442,13225,12969,12670,12366,12083,11853,11648,11463,11301,11147,10941,10717,10457,10183,9878,9605,9327,9069,8820,8630,8465,8264,8022,7745,7441,7097,6734,6348,5945,5506,5045,4572,4118,3674,3232,2814,2415,2027,1666,1357,1082,858,688,544,420,321,237,168,113,206,11708,11761,11828,11906,11988,12070,12166,12267,12363,12456,12562,12680,12792,12905,13040,13208,13353,13469,13559,13616,13628,13618,13994,14477,14531,14657,14621,14570,14521,14458,14391,14321,14245,14187,14120,14068,14021,13991,13979,14007,14080,14160,14250,14323,14383,14404,14359,14297,14227,14106,13939,13706,13449,13185,12909,12672,12480,12315,12159,12005,11864,11679,11471,11235,10972,10688,10402,10139,9881,9649,9468,9324,9153,8917,8642,8343,8006,7649,7287,6918,6498,6046,5580,5104,4627,4154,3690,3226,2774,2343,1956,1606,1314,1079,883,712,560,429,315,225,460,23990,24100,24238,24399,24566,24732,24932,25143,25350,25539,25767,26008,26249,26485,26767,27123,27432,27697,27904,28054,28084,28013,28739,29687,29738,30088,29935,29771,29601,29399,29213,28998,28801,28618,28432,28257,28121,27991,27916,27883,27939,28021,28119,28199,28275,28277,28186,28072,27923,27718,27381,26931,26418,25855,25275,24755,24333,23963,23622,23306,23011,22620,22188,21692,21155,20566,20007,19466,18950,18469,18098,17789,17417,16939,16387,15784,15103,14383,13635,12863,12004,11091,10152,9222,8301,7386,6504,5641,4801,4009,3313,2688,2172,1767,1427,1132,881,666,483,338,666,1034716,1052778,2087494
Total,12152,12217,12282,12361,12451,12545,12636,12747,12862,12977,13078,13202,13327,13457,13580,13726,13908,14056,14176,14259,14318,14309,14232,14571,15032,15038,15272,15174,15077,14972,14845,14739,14604,14491,14372,14257,14139,14052,13957,13896,13836,13822,13825,13835,13844,13861,13844,13799,13746,13666,13580,13409,13189,12931,12630,12323,12036,11803,11592,11403,11236,11075,10863,10635,10368,10089,9777,9496,9210,8942,8683,8482,8304,8091,7839,7549,7233,6878,6502,6104,5686,5236,4764,4282,3821,3374,2935,2525,2140,1773,1438,1155,908,708,558,432,324,243,174,120,211,11584,11644,11705,11780,11866,11955,12042,12144,12250,12348,12445,12553,12673,12786,12900,13034,13187,13305,13391,13456,13497,13505,13495,13874,14363,14427,14565,14541,14498,14457,14401,14340,14274,14200,14145,14078,14027,13981,13950,13941,13966,14040,14121,14211,14286,14347,14368,14322,14263,14192,14070,13903,13669,13410,13144,12867,12628,12434,12266,12107,11950,11807,11617,11406,11167,10898,10611,10318,10048,9784,9543,9353,9199,9018,8772,8488,8177,7829,7460,7083,6699,6264,5796,5315,4825,4338,3857,3393,2935,2495,2083,1718,1392,1124,909,731,576,443,332,238,482,23736,23861,23987,24141,24317,24500,24678,24891,25112,25325,25523,25755,26000,26243,26480,26760,27095,27361,27567,27715,27815,27814,27727,28445,29395,29465,29837,29715,29575,29429,29246,29079,28878,28691,28517,28335,28166,28033,27907,27837,27802,27862,27946,28046,28130,28208,28212,28121,28009,27858,27650,27312,26858,26341,25774,25190,24664,24237,23858,23510,23186,22882,22480,22041,21535,20987,20388,19814,19258,18726,18226,17835,17503,17109,16611,16037,15410,14707,13962,13187,12385,11500,10560,9597,8646,7712,6792,5918,5075,4268,3521,2873,2300,1832,1467,1163,900,686,506,358,693,1036483,1054694,2091177
Total,12019,12088,12160,12232,12321,12418,12520,12617,12732,12852,12972,13075,13200,13326,13457,13579,13719,13885,14006,14091,14140,14174,14147,14065,14402,14867,14886,15133,15050,14970,14877,14762,14666,14538,14432,14317,14207,14092,14008,13915,13856,13798,13785,13790,13801,13813,13830,13815,13769,13716,13635,13547,13374,13150,12891,12587,12276,11986,11747,11532,11338,11165,10998,10780,10548,10273,9989,9668,9379,9084,8805,8537,8323,8133,7907,7644,7341,7013,6644,6253,5843,5409,4946,4464,3975,3509,3065,2634,2238,1873,1530,1224,968,750,574,442,334,245,178,125,218,11456,11521,11588,11659,11741,11833,11929,12019,12126,12236,12336,12435,12546,12667,12781,12894,13014,13140,13228,13290,13340,13373,13385,13380,13765,14260,14336,14485,14472,14435,14400,14349,14293,14230,14158,14103,14036,13987,13941,13910,13901,13926,14001,14082,14172,14249,14310,14331,14286,14228,14157,14033,13865,13630,13369,13102,12822,12582,12386,12215,12052,11893,11746,11552,11338,11093,10820,10527,10227,9950,9678,9429,9230,9066,8874,8617,8323,7998,7638,7254,6862,6460,6008,5522,5027,4525,4031,3546,3087,2641,2219,1829,1488,1192,946,752,592,456,342,250,506,23475,23609,23748,23891,24062,24251,24449,24636,24858,25088,25308,25510,25746,25993,26238,26473,26733,27025,27234,27381,27480,27547,27532,27445,28167,29127,29222,29618,29522,29405,29277,29111,28959,28768,28590,28420,28243,28079,27949,27825,27757,27724,27786,27872,27973,28062,28140,28146,28055,27944,27792,27580,27239,26780,26260,25689,25098,24568,24133,23747,23390,23058,22744,22332,21886,21366,20809,20195,19606,19034,18483,17966,17553,17199,16781,16261,15664,15011,14282,13507,12705,11869,10954,9986,9002,8034,7096,6180,5325,4514,3749,3053,2456,1942,1520,1194,926,701,520,375,724,1037981,1056310,2094291
Total,11888,11955,12032,12112,12191,12289,12393,12501,12604,12721,12846,12968,13073,13199,13326,13456,13571,13696,13835,13923,13974,13998,14015,13982,13902,14245,14718,14753,15010,14942,14877,14794,14688,14601,14478,14378,14266,14160,14048,13966,13874,13818,13760,13749,13756,13768,13781,13800,13783,13738,13685,13603,13511,13336,13110,12847,12540,12225,11931,11687,11468,11267,11089,10916,10692,10455,10171,9881,9550,9252,8948,8658,8380,8154,7951,7713,7436,7120,6777,6393,5987,5561,5112,4636,4145,3653,3188,2751,2336,1958,1617,1302,1026,799,608,454,342,252,180,127,225,11331,11395,11466,11542,11620,11709,11805,11908,12000,12112,12224,12327,12427,12540,12662,12774,12874,12968,13064,13129,13175,13220,13252,13273,13276,13667,14170,14257,14416,14409,14379,14349,14302,14249,14187,14116,14062,13995,13947,13901,13870,13861,13886,13962,14044,14132,14211,14273,14293,14250,14193,14120,13996,13826,13588,13327,13058,12775,12534,12335,12161,11995,11833,11682,11484,11265,11016,10736,10437,10130,9844,9565,9306,9099,8924,8719,8452,8143,7806,7430,7030,6620,6198,5727,5225,4716,4206,3708,3226,2777,2349,1948,1585,1273,1004,782,609,468,352,258,529,23219,23350,23498,23654,23811,23998,24198,24409,24604,24833,25070,25295,25500,25739,25988,26230,26445,26664,26899,27052,27149,27218,27267,27255,27178,27912,28888,29010,29426,29351,29256,29143,28990,28850,28665,28494,28328,28155,27995,27867,27744,27679,27646,27711,27800,27900,27992,28073,28076,27988,27878,27723,27507,27162,26698,26174,25598,25000,24465,24022,23629,23262,22922,22598,22176,21720,21187,20617,19987,19382,18792,18223,17686,17253,16875,16432,15888,15263,14583,13823,13017,12181,11310,10363,9370,8369,7394,6459,5562,4735,3966,3250,2611,2072,1612,1236,951,720,532,385,754,1039206,1057630,2096836
Total,11762,11825,11899,11985,12072,12158,12264,12374,12487,12593,12715,12842,12965,13071,13198,13325,13449,13548,13646,13753,13808,13834,13841,13852,13822,13750,14103,14587,14636,14903,14848,14795,14720,14623,14540,14425,14327,14218,14116,14006,13926,13835,13780,13725,13714,13721,13735,13749,13768,13750,13706,13653,13567,13474,13295,13066,12800,12490,12169,11871,11623,11399,11191,11008,10829,10599,10354,10062,9762,9423,9115,8801,8501,8212,7975,7758,7506,7215,6883,6523,6124,5701,5257,4794,4307,3810,3320,2862,2439,2044,1690,1376,1091,847,647,481,351,257,185,129,231,11210,11269,11341,11421,11503,11588,11683,11782,11891,11984,12101,12214,12318,12420,12535,12656,12753,12828,12893,12966,13016,13056,13102,13141,13171,13183,13582,14092,14189,14354,14353,14328,14301,14258,14206,14145,14075,14021,13955,13907,13861,13830,13822,13846,13923,14004,14093,14172,14235,14256,14212,14158,14082,13957,13785,13546,13283,13012,12726,12483,12282,12105,11935,11770,11613,11413,11188,10933,10646,10340,10025,9731,9443,9176,8959,8771,8553,8273,7949,7597,7203,6785,6354,5911,5421,4903,4384,3870,3374,2903,2470,2062,1689,1355,1072,830,633,481,361,265,550,22972,23094,23240,23406,23575,23746,23947,24156,24378,24577,24816,25056,25283,25491,25733,25981,26202,26376,26539,26719,26824,26890,26943,26993,26993,26933,27685,28679,28825,29257,29201,29123,29021,28881,28746,28570,28402,28239,28071,27913,27787,27665,27602,27571,27637,27725,27828,27921,28003,28006,27918,27811,27649,27431,27080,26612,26083,25502,24895,24354,23905,23504,23126,22778,22442,22012,21542,20995,20408,19763,19140,18532,17944,17388,16934,16529,16059,15488,14832,14120,13327,12486,11611,10705,9728,8713,7704,6732,5813,4947,4160,3438,2780,2202,1719,1311,984,738,546,394,781,1040161,1058655,2098816
Total,11630,11701,11770,11852,11946,12040,12133,12244,12360,12476,12585,12710,12839,12963,13070,13197,13317,13426,13500,13564,13640,13669,13680,13680,13694,13673,13613,13977,14472,14534,14809,14766,14721,14655,14563,14485,14375,14279,14173,14074,13966,13886,13797,13744,13690,13679,13687,13702,13716,13734,13718,13673,13617,13529,13434,13252,13018,12749,12434,12110,11807,11554,11324,11111,10921,10737,10498,10246,9944,9634,9285,8968,8644,8333,8035,7784,7553,7284,6978,6629,6251,5833,5393,4931,4455,3960,3464,2981,2538,2134,1765,1437,1153,900,686,512,371,265,188,131,236,11085,11150,11216,11296,11383,11471,11562,11662,11764,11876,11972,12091,12206,12310,12414,12527,12636,12707,12754,12796,12855,12899,12940,12992,13041,13080,13102,13507,14026,14128,14298,14302,14281,14256,14216,14164,14104,14034,13980,13916,13867,13821,13791,13783,13806,13885,13964,14053,14134,14196,14218,14174,14121,14043,13916,13742,13502,13237,12964,12675,12430,12227,12046,11872,11703,11542,11336,11105,10842,10549,10235,9912,9609,9313,9037,8808,8606,8375,8079,7738,7368,6955,6515,6062,5597,5089,4559,4034,3523,3036,2582,2169,1787,1445,1141,886,671,500,371,271,569,22715,22851,22986,23148,23329,23511,23695,23906,24124,24352,24557,24801,25045,25273,25484,25724,25953,26133,26254,26360,26495,26568,26620,26672,26735,26753,26715,27484,28498,28662,29107,29068,29002,28911,28779,28649,28479,28313,28153,27990,27833,27707,27588,27527,27496,27564,27651,27755,27850,27930,27936,27847,27738,27572,27350,26994,26520,25986,25398,24785,24237,23781,23370,22983,22624,22279,21834,21351,20786,20183,19520,18880,18253,17646,17072,16592,16159,15659,15057,14367,13619,12788,11908,10993,10052,9049,8023,7015,6061,5170,4347,3606,2940,2345,1827,1398,1042,765,559,402,805,1040843,1059385,2100228
Total,11497,11569,11646,11724,11813,11914,12016,12114,12229,12350,12467,12580,12706,12837,12962,13069,13189,13294,13377,13420,13452,13504,13516,13523,13523,13547,13537,13492,13867,14372,14445,14726,14694,14655,14595,14508,14434,14327,14235,14130,14033,13928,13847,13760,13708,13654,13645,13654,13668,13682,13700,13684,13638,13579,13489,13391,13205,12966,12693,12374,12046,11738,11479,11245,11025,10829,10637,10390,10128,9816,9497,9137,8811,8476,8155,7845,7581,7334,7047,6723,6355,5957,5520,5061,4584,4098,3600,3112,2643,2222,1843,1501,1204,951,729,542,395,279,194,134,240,10956,11027,11098,11172,11258,11352,11445,11540,11645,11749,11864,11961,12083,12199,12304,12406,12507,12590,12634,12659,12686,12741,12785,12832,12892,12951,13000,13031,13443,13966,14074,14248,14254,14236,14213,14175,14122,14063,13993,13940,13876,13826,13782,13751,13744,13767,13846,13924,14015,14095,14156,14179,14136,14082,14002,13873,13698,13456,13188,12914,12622,12375,12168,11984,11805,11633,11466,11254,11015,10744,10444,10122,9791,9479,9174,8887,8645,8429,8182,7867,7508,7117,6681,6218,5742,5256,4734,4196,3673,3171,2700,2268,1880,1528,1218,942,717,529,386,279,584,22453,22596,22744,22896,23071,23266,23461,23654,23874,24099,24331,24541,24789,25036,25266,25475,25696,25884,26011,26079,26138,26245,26301,26355,26415,26498,26537,26523,27310,28338,28519,28974,28948,28891,28808,28683,28556,28390,28228,28070,27909,27754,27629,27511,27452,27421,27491,27578,27683,27777,27856,27863,27774,27661,27491,27264,26903,26422,25881,25288,24668,24113,23647,23229,22830,22462,22103,21644,21143,20560,19941,19259,18602,17955,17329,16732,16226,15763,15229,14590,13863,13074,12201,11279,10326,9354,8334,7308,6316,5393,4543,3769,3084,2479,1947,1484,1112,808,580,413,824,1041256,1059817,2101073
